NAME,START,END,LON,LAT,DESC,CONTINENT
Timkat - Ethiopia,1/19/2025,1/20/2025,9.02,38.75,Timkat is the Orthodox Tewahedo celebration of Epiphany. It is celebrated on January 19 corresponding to the 11th day of Terr in the Ethiopian calendar. Timkat celebrates the baptism of Jesus in the River Jordan.,Africa
Fes Festival of Sacread Music - Morocco,5/22/2025,5/31/2025,34.023956,-5.0078451,An annual music festival held for a week in Fez Morocco.  The festival includes concerts debates and joint performances of Muslim and Christian devotional music from artists from all over the world.,Africa
Ouidah Voodoo - Benin,1/10/2026,1/10/2026,6.3689016,2.0707834,The festival is a celebration of the ancestral cults that are the foundation of Benin's traditional religions. It's also a chance for followers to reconnect with their culture art and spirituality. ,Africa
Harbin Ice and Snow Festival - China,12/20/2024,2/25/2025,45.7597,126.6280251,The Harbin Ice Festival features various ice sculpture competitions snow sculpture competitions winter fishing winter sports winter activities celebrations parades events and five theme parks,Asia
Prayag Maha Kumbh Mela - India,1/13/2025,2/26/2025,26.431,82.8824251,A Hindu pilgrimage festival celebrating a full orbital revolution of Jupiter around the Sun.  It is the world’s largest festival with 400 to 450 million visitors.,Asia
Sinulog - Philippines,1/19/2025,1/19/2025,10.2929,123.9017,Sinulog is one of the Philippines' most prominent festivals held annually in Cebu City on the third Sunday of January. The festival honors the Child Jesus (Santo Niño) with a colorful parade traditional dances music and elaborate costumes.,Asia
Dinagyang - Philippines,1/26/2025,1/26/2025,10.7202,122.5621,Dinagyang is a religious and cultural festival in Iloilo City Philippines held on the fourth Sunday of January. The festival commemorates the arrival of Malay settlers and the pact they made with local Ati people featuring colorful tribal dance competitions and religious processions honoring the Santo Niño.,Asia
Thaipusam Festival - Kuala Lumpur,1/28/2025,1/28/2025,3.1569,101.7123,"Thaipusam is a Hindu festival celebrated primarily by Tamil communities particularly spectacular at the Batu Caves in Kuala Lumpur. Devotees pierce their bodies with hooks and skewers as acts of devotion to Lord Murugan while carrying elaborate ""kavadi"" structures during a procession to the caves.",Asia
Pingxi Lantern Festival - Taiwan,2/1/2025,2/28/2025,22.6230052,120.3398666,Many activities are held across Taiwan during the Lantern Festival; thousands of sky lanterns are lit over Pingxi District (平溪). In Yanshuei District the firecrackers ceremony of the Wumiao Temple is also one of the important activities.[citation needed] The notoriously dangerous Tainan Yanshuei Fireworks Display also known as the Yanshui Beehive Fireworks Festival,Asia
Desert Festival - India,2/1/2025,2/3/2025,26.9157,70.9083,The Desert Festival of Jaisalmer is a colorful event held in the golden city of Jaisalmer Rajasthan. It showcases the rich cultural heritage of the desert state with camel races folk dances turban tying contests and traditional music performances.,Asia
Sapporo Snow Festival - Japan,2/4/2025,2/11/2025,43.0618,141.3545,The Sapporo Snow Festival is a winter festival held annually in Sapporo Japan. It features enormous ice and snow sculptures snow mazes slides and illuminated sculptures at night. The festival attracts more than 2 million visitors each year.,Asia
